,0
0,Indiana
1,Iowa
2,Kansas
3,Louisiana
4,Maine
5,Michigan
6,Minnesota
7,Missouri
8,New Hampshire
9,Pennsylvania
10,Tennessee
11,Virginia
12,West Virginia
